Thu Jan 30 2020 10:00:54 GMT+0100 (Central European Standard Time) | --> 0201303330303030303030313039303031313230030651
Thu Jan 30 2020 14:28:11 GMT+0100 (Central European Standard Time) | --> 02013031303030303030303130393030313132313031461c303030303031037c22
Thu Jan 30 2020 14:28:11 GMT+0100 (Central European Standard Time) | <-- 0601
Thu Jan 30 2020 14:28:28 GMT+0100 (Central European Standard Time) | <-- 020030323030303030303031353031393031323130303235424630443035504541313031313230333030303053434856c14c454e4f1c554342435a1c50454131303131321c30303030303735453332453746350000000000001c1d3033564953411c1d30323031301c1c301c1c311c33303030301c301c1c1d3032301c1c301c1c301c1c301c1c1d4d4153544552434152441c1d30323031301c1c301c1c301c1c301c1c1d3032301c1c301c1c301c1c301c1c1d4d41455354524f1c1d30323031301c1c301c1c301c1c301c1c1d3032301c1c301c1c301c1c301c1c1d303030305052494a41544f2042502d484f5354203630411c414d45581c5045413130313132411c30303030303935453332453830330000000000001c1d3031414d45581c1d30313031301c1c301c1c301c1c301c1c1d303030305052494a41544f2042502d484f5354203630411c44494e4552531c5045413130313132441c30303030303935453332453830370000000000001c1d303144494e4552531c1d30313031301c1c301c1c301c1c301c1c1d038027
Thu Jan 30 2020 14:28:28 GMT+0100 (Central European Standard Time) | --> 0600


Thu Jan 30 2020 14:29:27 GMT+0100 (Central European Standard Time) | --> 020130313030303030303031303930303131373550303133303030301c303103cbed
Thu Jan 30 2020 14:29:31 GMT+0100 (Central European Standard Time) | <-- 020130313030303030303031303930303131373550303133303030301c303103cbed
Thu Jan 30 2020 14:29:34 GMT+0100 (Central European Standard Time) | --> 0201303330303030303030313039303031313230030651
Thu Jan 30 2020 14:29:34 GMT+0100 (Central European Standard Time) | <-- 020130313030303030303031303930303131373550303133303030301c303103cbed
Thu Jan 30 2020 14:29:34 GMT+0100 (Central European Standard Time) | <-- 020130313030303030303031303930303131373550303133303030301c303103cbed
Thu Jan 30 2020 14:29:37 GMT+0100 (Central European Standard Time) | <-- 020130313030303030303031303930303131373550303133303030301c303103cbed
Thu Jan 30 2020 14:29:37 GMT+0100 (Central European Standard Time) | --> 0601
Thu Jan 30 2020 14:29:37 GMT+0100 (Central European Standard Time) | --> 0202303130303030303030323039303031313736501c1c303133303030301c30303030303030311c30311c30311c3031323030313030303103920e
Thu Jan 30 2020 14:29:37 GMT+0100 (Central European Standard Time) | <-- 0202303130303030303030323039303031313736501c1c303133303030301c30303030303030311c30311c30311c3031323030313030303103920e
Thu Jan 30 2020 14:29:51 GMT+0100 (Central European Standard Time) | <-- 0202303130303030303030323039303031313736501c1c303133303030301c30303030303030311c30311c30311c3031323030313030303103920e
Thu Jan 30 2020 14:29:51 GMT+0100 (Central European Standard Time) | --> 0602
Thu Jan 30 2020 14:29:51 GMT+0100 (Central European Standard Time) | <-- 0202303130303030303030323039303031313736501c1c303133303030301c30303030303030311c30311c30311c3031323030313030303103920e


Thu Jan 30 2020 15:29:25 GMT+0100 (Central European Standard Time) | --> 020130313030303030303031303930303131373552303132343739331c3031030c10
Thu Jan 30 2020 15:29:30 GMT+0100 (Central European Standard Time) | <-- 020130313030303030303031303930303131373552303132343739331c3031030c10
Thu Jan 30 2020 15:29:32 GMT+0100 (Central European Standard Time) | --> 0201303330303030303030313039303031313230030651
Thu Jan 30 2020 15:29:32 GMT+0100 (Central European Standard Time) | <-- 020130313030303030303031303930303131373552303132343739331c3031030c10
Thu Jan 30 2020 15:29:32 GMT+0100 (Central European Standard Time) | <-- 020130313030303030303031303930303131373552303132343739331c3031030c10
Thu Jan 30 2020 15:29:39 GMT+0100 (Central European Standard Time) | <-- 020130313030303030303031303930303131373552303132343739331c3031030c10
Thu Jan 30 2020 15:29:39 GMT+0100 (Central European Standard Time) | --> 0601
Thu Jan 30 2020 15:29:39 GMT+0100 (Central European Standard Time) | --> 0202303130303030303030323039303031313736521c1c303132343739331c30303030303030321c30311c30311c30313230303130303032036f8b
Thu Jan 30 2020 15:29:39 GMT+0100 (Central European Standard Time) | <-- 0202303130303030303030323039303031313736521c1c303132343739331c30303030303030321c30311c30311c30313230303130303032036f8b
Thu Jan 30 2020 15:29:50 GMT+0100 (Central European Standard Time) | <-- 0202303130303030303030323039303031313736521c1c303132343739331c30303030303030321c30311c30311c30313230303130303032036f8b
Thu Jan 30 2020 15:29:50 GMT+0100 (Central European Standard Time) | --> 0602
Thu Jan 30 2020 15:29:50 GMT+0100 (Central European Standard Time) | <-- 0202303130303030303030323039303031313736521c1c303132343739331c30303030303030321c30311c30311c30313230303130303032036f8b


Thu Jan 30 2020 15:55:08 GMT+0100 (Central European Standard Time) | --> 020130313030303030303031303930303131373552303132343739331c3031030c10
Thu Jan 30 2020 15:55:08 GMT+0100 (Central European Standard Time) | <-- 020130313030303030303031303930303131373552303132343739331c3031030c10
Thu Jan 30 2020 15:55:15 GMT+0100 (Central European Standard Time) | --> 0201303330303030303030313039303031313230030651
Thu Jan 30 2020 15:55:15 GMT+0100 (Central European Standard Time) | <-- 020130313030303030303031303930303131373552303132343739331c3031030c10
Thu Jan 30 2020 15:55:15 GMT+0100 (Central European Standard Time) | <-- 020130313030303030303031303930303131373552303132343739331c3031030c10
Thu Jan 30 2020 15:55:17 GMT+0100 (Central European Standard Time) | <-- 020130313030303030303031303930303131373552303132343739331c3031030c10
Thu Jan 30 2020 15:55:17 GMT+0100 (Central European Standard Time) | --> 0601
Thu Jan 30 2020 15:55:17 GMT+0100 (Central European Standard Time) | --> 0202303130303030303030323039303031313736521c1c303132343739331c30303030303030331c30311c30311c303132303031303030330353e7
Thu Jan 30 2020 15:55:17 GMT+0100 (Central European Standard Time) | <-- 0202303130303030303030323039303031313736521c1c303132343739331c30303030303030331c30311c30311c303132303031303030330353e7
Thu Jan 30 2020 15:55:29 GMT+0100 (Central European Standard Time) | <-- 0202303130303030303030323039303031313736521c1c303132343739331c30303030303030331c30311c30311c303132303031303030330353e7
Thu Jan 30 2020 15:55:29 GMT+0100 (Central European Standard Time) | --> 0602
Thu Jan 30 2020 15:55:29 GMT+0100 (Central European Standard Time) | <-- 0202303130303030303030323039303031313736521c1c303132343739331c30303030303030331c30311c30311c303132303031303030330353e7


